#Period                           :500.223450
#Sampling Interval                :0.234000
#Total no. of lines is 3(including this line) and the numeric values at each line start from the 36th character
0.128277 0.419301
0.128745 0.420078
0.129213 0.421103
0.129682 0.421539
0.130150 0.422375
0.130618 0.423249
0.131086 0.424179
0.131554 0.424616
0.132022 0.425791
0.132491 0.426326
0.132959 0.427351
0.133427 0.428279
0.133895 0.428524
0.134363 0.429988
0.134831 0.430086
0.135300 0.431355
0.135768 0.431939
0.136236 0.433064
0.136704 0.433505
0.137172 0.434189
0.137640 0.435355
0.138109 0.435898
0.138577 0.436823
0.139045 0.437608
0.139513 0.438669
0.139981 0.439317
0.140449 0.440240
0.140918 0.441265
0.141386 0.441845
0.141854 0.442632
0.142322 0.443419
0.142790 0.443999
0.143258 0.444682
0.143727 0.445708
0.144195 0.446496
0.144663 0.447180
0.145131 0.447994
0.145599 0.449125
0.146067 0.449808
0.146536 0.450257
0.147004 0.451644
0.147472 0.451966
0.147940 0.453226
0.148408 0.453676
0.148876 0.454484
0.149345 0.455385
0.149813 0.456069
0.150281 0.456985
0.150749 0.457217
0.151217 0.458693
0.151685 0.459146
0.152154 0.460060
0.152622 0.460974
0.153090 0.461769
0.153558 0.462452
0.154026 0.463248
0.154494 0.464390
0.154963 0.464616
0.155431 0.465870
0.155899 0.466667
0.156367 0.467122
0.156835 0.468034
0.157303 0.469287
0.157772 0.469629
0.158240 0.470538
0.158708 0.471337
0.159176 0.471795
0.159644 0.473046
0.160112 0.473388
0.160581 0.474413
0.161049 0.475214
0.161517 0.475214
0.161985 0.475096
0.162453 0.475780
0.162921 0.475780
0.163390 0.474872
0.163858 0.475438
0.164326 0.475662
0.164794 0.475096
0.165262 0.475437
0.165730 0.475555
0.166199 0.475320
0.166667 0.475213
0.167135 0.475437
0.167603 0.475213
0.168071 0.475319
0.168539 0.474871
0.169007 0.475437
0.169476 0.475779
0.169944 0.474978
0.170412 0.475437
0.170880 0.475213
0.171348 0.475437
0.171816 0.475437
0.172285 0.476120
0.172753 0.475212
0.173221 0.475554
0.173689 0.475660
0.174157 0.475896
0.174625 0.475778
0.175094 0.475212
0.175562 0.475542
0.176030 0.475554
0.176498 0.475436
0.176966 0.474752
0.177434 0.475660
0.177903 0.475553
0.178371 0.474870
0.178839 0.475777
0.179307 0.475777
0.179775 0.475094
0.180243 0.475211
0.180712 0.475777
0.181180 0.475318
0.181648 0.475435
0.182116 0.475777
0.182584 0.475211
0.183052 0.474859
0.183521 0.474869
0.183989 0.475435
0.184457 0.474869
0.184925 0.475317
0.185393 0.475211
0.185861 0.475552
0.186330 0.475093
0.186798 0.475317
0.187266 0.475776
0.187734 0.475552
0.188202 0.475776
0.188670 0.474975
0.189139 0.476118
0.189607 0.475552
0.190075 0.475210
0.190543 0.475658
0.191011 0.475894
0.191479 0.475434
0.191948 0.474868
0.192416 0.475999
0.192884 0.475552
0.193352 0.475092
0.193820 0.475434
0.194288 0.475658
0.194757 0.474750
0.195225 0.475209
0.195693 0.475775
0.196161 0.475433
0.196629 0.475433
0.197097 0.475551
0.197566 0.475551
0.198034 0.475433
0.198502 0.475657
0.198970 0.475091
0.199438 0.474867
0.199906 0.475091
0.200375 0.474974
0.200843 0.475433
0.201311 0.474867
0.201779 0.475550
0.202247 0.475315
0.202715 0.475208
0.203184 0.475774
0.203652 0.475208
0.204120 0.476340
0.204588 0.475550
0.205056 0.475432
0.205524 0.475774
0.205993 0.475656
0.206461 0.475090
0.206929 0.475208
0.207397 0.475774
0.207865 0.475432
0.208333 0.475432
0.208801 0.475549
0.209270 0.475549
0.209738 0.475314
0.210206 0.475432
0.210674 0.475090
0.211142 0.475549
0.211610 0.475196
0.212079 0.475207
0.212547 0.475773
0.213015 0.475090
0.213483 0.475655
0.213951 0.475549
0.214419 0.475549
0.214888 0.475431
0.215356 0.475431
0.215824 0.475431
0.216292 0.475207
0.216760 0.475773
0.217228 0.475313
0.217697 0.475431
0.218165 0.475431
0.218633 0.475548
0.219101 0.475655
0.219569 0.475548
0.220037 0.475431
0.220506 0.475548
0.220974 0.475654
0.221442 0.475206
0.221910 0.475430
0.222378 0.475089
0.222846 0.475313
0.223315 0.474747
0.223783 0.475548
0.224251 0.475430
0.224719 0.475313
0.225187 0.475430
0.225655 0.475206
0.226124 0.475890
0.226592 0.475312
0.227060 0.475548
0.227528 0.475430
0.227996 0.475206
0.228464 0.475195
0.228933 0.475547
0.229401 0.475430
0.229869 0.475088
0.230337 0.475654
0.230805 0.475547
0.231273 0.475547
0.231742 0.475429
0.232210 0.475547
0.232678 0.475312
0.233146 0.475205
0.233614 0.475547
0.234082 0.475087
0.234551 0.475653
0.235019 0.475087
0.235487 0.475547
0.235955 0.475771
0.236423 0.475311
0.236891 0.475087
0.237360 0.475205
0.237828 0.475888
0.238296 0.474970
0.238764 0.475546
0.239232 0.475087
0.239700 0.475204
0.240169 0.474852
0.240637 0.475204
0.241105 0.475770
0.241573 0.474745
0.242041 0.475652
0.242509 0.475428
0.242978 0.475204
0.243446 0.475428
0.243914 0.475770
0.244382 0.475086
0.244850 0.475204
0.245318 0.475546
0.245787 0.475310
0.246255 0.475428
0.246723 0.475086
0.247191 0.475888
0.247659 0.475193
0.248127 0.475204
0.248596 0.475428
0.249064 0.475204
0.249532 0.475310
0.250000 0.475204
0.250468 0.475545
0.250936 0.475086
0.251404 0.475310
0.251873 0.474744
0.252341 0.475545
0.252809 0.475769
0.253277 0.474969
0.253745 0.475428
0.254213 0.475428
0.254682 0.475545
0.255150 0.474627
0.255618 0.475546
0.256086 0.475086
0.256554 0.474862
0.257022 0.475310
0.257491 0.475887
0.257959 0.475086
0.258427 0.475086
0.258895 0.475993
0.259363 0.474745
0.259831 0.475546
0.260300 0.475428
0.260768 0.475428
